#options: 592x352 fps=3/1 timebase=1/3 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=3 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=2 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=3 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=8 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:35 out:35 type:B dur:2 cpbdur:2 q:50.00 aq:51.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:814 d:s ref:0 ;
in:34 out:36 type:b dur:2 cpbdur:2 q:50.73 aq:51.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:814 d:s ref:0 ;
in:38 out:37 type:P dur:2 cpbdur:2 q:47.74 aq:45.80 tex:774 mv:163 misc:215 imb:3 pmb:25 smb:786 d:s ref:0 ;
in:37 out:38 type:b dur:2 cpbdur:2 q:48.51 aq:51.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:814 d:s ref:0 ;
in:40 out:39 type:P dur:2 cpbdur:2 q:46.60 aq:41.02 tex:513 mv:61 misc:202 imb:0 pmb:14 smb:800 d:s ref:0 ;
in:39 out:40 type:b dur:2 cpbdur:2 q:47.17 aq:50.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:814 d:s ref:0 ;
in:44 out:41 type:P dur:2 cpbdur:2 q:45.71 aq:43.05 tex:606 mv:169 misc:201 imb:1 pmb:26 smb:787 d:s ref:0 ;
in:42 out:42 type:B dur:2 cpbdur:2 q:46.16 aq:47.00 tex:11 mv:11 misc:146 imb:0 pmb:2 smb:812 d:t ref:0 ;
in:41 out:43 type:b dur:2 cpbdur:2 q:46.38 aq:49.00 tex:0 mv:11 misc:133 imb:0 pmb:2 smb:812 d:s ref:0 ;
in:43 out:44 type:b dur:2 cpbdur:2 q:45.94 aq:50.88 tex:21 mv:8 misc:131 imb:0 pmb:1 smb:813 d:- ref:0 ;
in:48 out:45 type:P dur:2 cpbdur:2 q:43.79 aq:38.79 tex:1309 mv:104 misc:227 imb:1 pmb:28 smb:785 d:s ref:0 ;
in:46 out:46 type:B dur:2 cpbdur:2 q:44.75 aq:45.00 tex:0 mv:10 misc:142 imb:0 pmb:1 smb:813 d:s ref:0 ;
in:45 out:47 type:b dur:2 cpbdur:2 q:45.23 aq:48.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:814 d:s ref:0 ;
in:47 out:48 type:b dur:2 cpbdur:2 q:44.27 aq:47.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:814 d:- ref:0 ;
in:52 out:49 type:P dur:2 cpbdur:2 q:41.83 aq:31.98 tex:5147 mv:423 misc:638 imb:5 pmb:140 smb:669 d:s ref:0 ;
in:50 out:50 type:B dur:2 cpbdur:2 q:42.81 aq:44.00 tex:1 mv:28 misc:147 imb:0 pmb:3 smb:811 d:s ref:0 ;
in:49 out:51 type:b dur:2 cpbdur:2 q:43.30 aq:46.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:814 d:s ref:0 ;
in:51 out:52 type:b dur:2 cpbdur:2 q:42.32 aq:45.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:814 d:- ref:0 ;
in:56 out:53 type:P dur:2 cpbdur:2 q:40.89 aq:31.09 tex:8083 mv:590 misc:775 imb:7 pmb:195 smb:612 d:s ref:0 ;
in:54 out:54 type:B dur:2 cpbdur:2 q:41.36 aq:42.00 tex:0 mv:3 misc:149 imb:0 pmb:1 smb:813 d:s ref:0 ;
in:53 out:55 type:b dur:2 cpbdur:2 q:41.60 aq:45.41 tex:30 mv:14 misc:132 imb:0 pmb:2 smb:812 d:s ref:0 ;
in:55 out:56 type:b dur:2 cpbdur:2 q:41.12 aq:44.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:814 d:- ref:0 ;
in:60 out:57 type:P dur:2 cpbdur:2 q:40.66 aq:30.35 tex:5536 mv:358 misc:658 imb:2 pmb:148 smb:664 d:s ref:0 ;
in:58 out:58 type:B dur:2 cpbdur:2 q:40.78 aq:42.00 tex:0 mv:0 misc:136 imb:0 pmb:0 smb:814 d:s ref:0 ;
in:57 out:59 type:b dur:2 cpbdur:2 q:40.83 aq:44.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:814 d:s ref:0 ;
in:59 out:60 type:b dur:2 cpbdur:2 q:40.72 aq:43.00 tex:0 mv:9 misc:127 imb:0 pmb:1 smb:813 d:- ref:0 ;
in:63 out:61 type:P dur:2 cpbdur:2 q:39.84 aq:30.41 tex:12359 mv:583 misc:882 imb:8 pmb:290 smb:516 d:s ref:0 ;
in:62 out:62 type:B dur:2 cpbdur:2 q:40.11 aq:43.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:814 d:s ref:0 ;
in:61 out:63 type:b dur:2 cpbdur:2 q:40.39 aq:43.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:814 d:s ref:0 ;
in:66 out:64 type:P dur:2 cpbdur:2 q:41.01 aq:31.61 tex:765 mv:141 misc:246 imb:0 pmb:29 smb:785 d:s ref:0 ;
in:65 out:65 type:B dur:2 cpbdur:2 q:40.62 aq:43.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:814 d:s ref:0 ;
in:64 out:66 type:b dur:2 cpbdur:2 q:40.23 aq:43.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:814 d:s ref:0 ;
in:68 out:67 type:P dur:2 cpbdur:2 q:39.68 aq:30.14 tex:5900 mv:400 misc:700 imb:1 pmb:148 smb:665 d:s ref:0 ;
in:67 out:68 type:b dur:2 cpbdur:2 q:40.35 aq:43.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:814 d:s ref:0 ;
in:72 out:69 type:P dur:2 cpbdur:2 q:38.61 aq:29.28 tex:17529 mv:767 misc:920 imb:7 pmb:361 smb:446 d:s ref:0 ;
in:70 out:70 type:B dur:2 cpbdur:2 q:39.14 aq:40.00 tex:2 mv:56 misc:174 imb:0 pmb:9 smb:805 d:s ref:0 ;
in:69 out:71 type:b dur:2 cpbdur:2 q:39.41 aq:42.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:814 d:s ref:0 ;
in:71 out:72 type:b dur:2 cpbdur:2 q:38.87 aq:42.00 tex:2 mv:45 misc:169 imb:0 pmb:9 smb:805 d:- ref:0 ;
in:74 out:73 type:P dur:2 cpbdur:2 q:41.45 aq:39.33 tex:567 mv:114 misc:175 imb:0 pmb:17 smb:797 d:s ref:0 ;
in:73 out:74 type:b dur:2 cpbdur:2 q:40.03 aq:43.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:814 d:s ref:0 ;
in:78 out:75 type:P dur:2 cpbdur:2 q:40.58 aq:30.64 tex:864 mv:142 misc:194 imb:0 pmb:23 smb:791 d:s ref:0 ;
in:76 out:76 type:B dur:2 cpbdur:2 q:41.02 aq:42.00 tex:0 mv:0 misc:136 imb:0 pmb:0 smb:814 d:s ref:0 ;
